-7-
1	948	+	1	1.300050	I:	D:
972	1253	-	3	1.314825	I:	D:
1444	1752	+	1	1.317530	I:	D:
1811	2905	-	2	1.313893	I:	D:
2918	4138	-	2	1.304805	I:	D:
4158	4352	-	3	1.354188	I:	D:
4490	5647	+	2	1.314181	I:	D:
5648	6316	-	2	1.344266	I:	D:
6359	7762	-	2	1.300171	I:	D:
7876	8175	+	1	1.307632	I:	D:
8172	9038	+	3	1.358017	I:	D:
9066	10526	-	3	1.337947	I:	D:
10611	10880	+	3	1.373659	I:	D:
11017	12024	+	1	1.300094	I:	D:
12131	12982	-	2	1.309670	I:	D:
12979	13806	-	1	1.299427	I:	D:
13803	14570	-	3	1.291133	I:	D:
14583	15602	-	3	1.292665	I:	D:
16161	16718	+	3	1.333108	I:	D:
16842	18038	+	3	1.337339	I:	D:
18198	19103	-	3	1.355705	I:	D:
19061	19426	-	2	1.326510	I:	D:
19718	19933	+	2	1.376084	I:	D:
19935	20708	+	3	1.319626	I:	D:
20896	21171	+	1	1.335607	I:	D:
21206	22315	+	2	1.310124	I:	D:
22409	23242	+	2	1.321321	I:	D:
23466	24005	-	3	1.275644	I:	D:
24107	25363	-	2	1.328165	I:	D:
25694	26707	-	2	1.288105	I:	D:
26704	27654	-	1	1.286768	I:	D:
27651	28460	-	3	1.302870	I:	D:
28470	29351	-	3	1.291527	I:	D:
29354	30298	-	2	1.310906	I:	D:
30300	31964	-	3	1.294509	I:	D:
32041	32988	+	1	1.320010	I:	D:
33056	34147	+	2	1.309667	I:	D:
34270	37344	+	1	1.313291	I:	D:
37396	38649	+	1	1.311542	I:	D:
38664	39326	+	3	1.358585	I:	D:
39429	40610	-	3	1.308881	I:	D:
40616	41086	-	2	1.283726	I:	D:
41117	41776	-	2	1.326462	I:	D:
41849	42784	+	2	1.334257	I:	D:
42921	44204	-	3	1.300867	I:	D:
44194	45453	-	1	1.309400	I:	D:
45563	45703	+	2	1.354413	I:	D:
45783	47669	-	3	1.301394	I:	D:
47709	49160	-	3	1.295549	I:	D:
49194	50363	-	3	1.292961	I:	D:
50710	51600	-	1	1.278799	I:	D:
51839	53425	+	2	1.302839	I:	D:
53523	53798	-	3	1.282260	I:	D:
53945	54616	+	2	1.343392	I:	D:
55058	55228	+	2	1.352076	I:	D:
55291	56106	-	1	1.364167	I:	D:
56349	57398	-	3	1.315652	I:	D:
57414	57551	-	3	1.358939	I:	D:
57775	59157	-	1	1.287544	I:	D:
59167	60117	-	1	1.280807	I:	D:
60193	60396	-	1	1.354577	I:	D:
60446	61864	-	2	1.278971	I:	D:
61864	63411	-	1	1.267400	I:	D:
63401	63970	-	2	1.328948	I:	D:
64016	64255	+	2	1.310176	I:	D:
64304	64909	-	2	1.320383	I:	D:
65167	65664	+	1	1.347658	I:	D:
65756	66688	+	2	1.313297	I:	D:
66730	67818	-	1	1.336716	I:	D:
68138	68323	+	2	1.389156	I:	D:
68693	70726	-	2	1.303600	I:	D:
70837	71442	+	1	1.298720	I:	D:
71456	72928	+	2	1.286709	I:	D:
72942	74612	+	3	1.305266	I:	D:
