59+
112	807	+	1	1.293354	I:	D:
882	3233	+	3	1.301015	I:	D:
3398	6304	+	2	1.276696	I:	D:
6316	6975	+	1	1.315725	I:	D:
7538	8188	-	2	1.356662	I:	D:
8483	9298	-	2	1.288068	I:	D:
9553	11907	+	1	1.317494	I:	D:
11960	13246	+	2	1.282117	I:	D:
13246	14235	+	1	1.304758	I:	D:
14232	15053	+	3	1.306587	I:	D:
15056	15433	+	2	1.319637	I:	D:
15440	16282	+	2	1.306946	I:	D:
16360	16974	-	1	1.317479	I:	D:
17031	18893	-	3	1.278196	I:	D:
18886	19416	-	1	1.307374	I:	D:
19524	20855	-	3	1.311122	I:	D:
20912	21199	-	2	1.286240	I:	D:
21196	22482	-	1	1.282179	I:	D:
22533	23474	-	3	1.283763	I:	D:
23489	24322	-	2	1.287064	I:	D:
24731	26245	+	2	1.316906	I:	D:
26276	27418	+	2	1.294809	I:	D:
27547	28764	+	1	1.293195	I:	D:
28823	30391	+	2	1.320837	I:	D:
30392	31285	+	2	1.290924	I:	D:
31291	31881	+	1	1.330209	I:	D:
31967	32362	-	2	1.343310	I:	D:
32397	32576	+	3	1.357121	I:	D:
32624	35845	-	2	1.274445	I:	D:
35863	37038	-	1	1.303435	I:	D:
37467	38288	-	3	1.292639	I:	D:
38455	39369	-	1	1.313525	I:	D:
39435	40385	-	3	1.284201	I:	D:
40387	40836	-	1	1.285872	I:	D:
40961	41455	-	2	1.282673	I:	D:
41455	44271	-	1	1.291982	I:	D:
44314	45255	-	1	1.308675	I:	D:
45584	45847	+	2	1.275562	I:	D:
46154	46429	+	2	1.361241	I:	D:
46348	46851	+	1	1.338967	I:	D:
47042	47947	-	2	1.328340	I:	D:
48007	49173	-	1	1.320563	I:	D:
49669	49911	+	1	1.356632	I:	D:
50105	51217	-	2	1.355817	I:	D:
51364	52494	-	1	1.295872	I:	D:
52583	54499	-	2	1.274698	I:	D:
54876	55280	+	3	1.315749	I:	D:
55306	56019	+	1	1.312673	I:	D:
56168	56734	+	2	1.267630	I:	D:
56769	57356	-	3	1.315738	I:	D:
57471	58424	-	3	1.281309	I:	D:
58703	60133	+	2	1.318900	I:	D:
60203	60979	+	2	1.293521	I:	D:
61132	61428	-	1	1.359247	I:	D:
61642	62928	-	1	1.288496	I:	D:
62929	63861	-	1	1.308956	I:	D:
63863	66325	-	2	1.299996	I:	D:
7+
337	2799	+	1	1.300646	I:	D:
2801	3733	+	2	1.311919	I:	D:
3734	5020	+	2	1.290416	I:	D:
5234	5530	+	2	1.357000	I:	D:
5683	6459	-	1	1.288910	I:	D:
6529	7959	-	1	1.320705	I:	D:
8238	9191	+	3	1.283259	I:	D:
9306	9893	+	3	1.315541	I:	D:
9928	10494	-	1	1.271121	I:	D:
10643	11356	-	2	1.305798	I:	D:
11382	11786	-	3	1.314721	I:	D:
12163	14079	+	1	1.278812	I:	D:
14168	15298	+	2	1.298178	I:	D:
15445	16557	+	1	1.354348	I:	D:
16580	16720	+	2	1.374075	I:	D:
16751	16903	-	2	1.313437	I:	D:
17489	18655	+	2	1.318173	I:	D:
18715	19620	+	1	1.329649	I:	D:
19811	20314	-	2	1.334923	I:	D:
20233	20508	-	1	1.368512	I:	D:
20815	21078	-	1	1.297482	I:	D:
21181	21399	+	1	1.365485	I:	D:
21407	22348	+	2	1.309165	I:	D:
22391	25207	+	2	1.293492	I:	D:
25207	25701	+	1	1.282200	I:	D:
25826	26275	+	2	1.284223	I:	D:
26277	27227	+	3	1.291314	I:	D:
27293	28207	+	2	1.309726	I:	D:
28374	29195	+	3	1.299393	I:	D:
29624	30799	+	2	1.303878	I:	D:
30817	34038	+	1	1.276520	I:	D:
34086	34265	-	3	1.353669	I:	D:
34300	34695	+	1	1.351406	I:	D:
34781	35371	-	2	1.324897	I:	D:
35377	36270	-	1	1.288787	I:	D:
36271	37839	-	1	1.318737	I:	D:
37898	39115	-	2	1.288977	I:	D:
39244	40386	-	1	1.288293	I:	D:
40417	41931	-	1	1.318841	I:	D:
42340	43173	+	1	1.287664	I:	D:
43188	44129	+	3	1.286595	I:	D:
44180	45466	+	2	1.285723	I:	D:
45463	45750	+	1	1.293423	I:	D:
45807	47138	+	3	1.311741	I:	D:
47246	47776	+	2	1.308562	I:	D:
47769	49631	+	3	1.281098	I:	D:
49688	50302	+	2	1.321909	I:	D:
50380	51222	-	1	1.304025	I:	D:
51229	51606	-	1	1.319225	I:	D:
51609	52430	-	3	1.304238	I:	D:
52427	53416	-	2	1.306137	I:	D:
53416	54702	-	1	1.281784	I:	D:
54755	57109	-	2	1.314607	I:	D:
57364	58179	+	1	1.292018	I:	D:
58474	59124	+	1	1.356126	I:	D:
59687	60346	-	2	1.310343	I:	D:
60358	63264	-	1	1.273180	I:	D:
63429	65780	-	3	1.300002	I:	D:
65855	66550	-	2	1.289329	I:	D:
